iter	Passed	Remaining
654	10321	5436
655	10330	5417
656	10339	5398
657	10349	5378
658	10360	5360
659	10368	5341
660	10380	5323
661	10391	5305
662	10401	5286
663	10412	5268
664	10420	5249
665	10429	5230
666	10439	5212
667	10448	5193
668	10459	5174
669	10468	5156
670	10478	5137
671	10489	5119
672	10497	5100
673	10508	5082
674	10520	5065
675	10529	5046
676	10539	5028
677	10549	5010
678	10558	4991
679	10568	4973
680	10576	4954
681	10587	4936
682	10595	4917
683	10606	4900
684	10616	4881
685	10625	4863
686	10637	4846
687	10646	4828
688	10656	4809
689	10667	4792
690	10676	4774
691	10686	4756
692	10694	4737
693	10703	4719
694	10715	4702
695	10724	4684
696	10735	4667
697	10745	4649
698	10754	4630
699	10764	4613
700	10772	4594
701	10782	4577
702	10792	4559
703	10802	4541
704	10813	4524
705	10822	4506
706	10831	4489
707	10841	4471
708	10851	4454
709	10861	4436
710	10869	4418
711	10880	4401
712	10889	4383
713	10899	4365
714	10909	4348
715	10917	4330
716	10927	4313
717	10936	4295
718	10947	4278
719	10957	4261
720	10966	4243
721	10976	4226
722	10984	4208
723	10994	4191
724	11003	4173
725	11013	4156
726	11025	4140
727	11034	4122
728	11044	4105
729	11056	4089
730	11066	4072
731	11078	4056
732	11089	4039
733	11105	4024
734	11127	4011
735	11137	3995
736	11145	3977
737	11153	3959
738	11160	3941
739	11167	3923
740	11175	3906
741	11182	3888
742	11189	3870
743	11197	3852
744	11204	3835
745	11210	3817
746	11217	3799
747	11224	3781
748	11232	3764
749	11238	3746
750	11245	3728
751	11252	3710
752	11260	3693
753	11270	3677
754	11281	3660
755	11290	3643
756	11298	3626
757	11306	3609
758	11315	3592
759	11323	3575
760	11331	3558
761	11340	3541
762	11350	3525
763	11359	3508
764	11369	3492
765	11379	3476
766	11386	3459
767	11397	3442
768	11406	3426
769	11413	3409
770	11423	3392
771	11431	3376
772	11441	3359
773	11449	3343
774	11460	3327
775	11469	3310
776	11479	3294
777	11488	3278
778	11496	3261
779	11507	3245
780	11515	3229
781	11524	3212
782	11532	3196
783	11541	3179
784	11550	3163
785	11558	3146
786	11566	3130
787	11576	3114
788	11586	3098
789	11595	3082
790	11605	3066
791	11613	3050
792	11622	3033
793	11628	3016
794	11636	3000
795	11642	2983
796	11649	2967
797	11656	2950
798	11663	2934
799	11671	2917
800	11678	2901
801	11686	2885
802	11692	2868
803	11703	2852
804	11711	2836
805	11719	2820
806	11726	2804
807	11734	2788
808	11741	2772
809	11749	2756
810	11757	2739
811	11766	2724
812	11772	2707
813	11781	2692
814	11789	2676
815	11798	2660
816	11805	2644
817	11812	2628
818	11819	2612
819	11827	2596
820	11835	2580
821	11848	2565
822	11856	2549
823	11865	2534
824	11872	2518
825	11882	2503
826	11889	2487
827	11899	2471
828	11906	2455
829	11915	2440
830	11923	2424
831	11932	2409
832	11940	2393
833	11948	2378
834	11954	2362
835	11963	2346
836	11970	2331
837	11979	2315
838	11985	2299
839	11994	2284
840	12001	2268
841	12008	2253
842	12016	2237
843	12027	2223
844	12035	2207
845	12045	2192
846	12055	2177
847	12062	2162
848	12071	2147
849	12078	2131
850	12087	2116
851	12094	2100
852	12105	2086
853	12113	2070
854	12123	2055
855	12131	2040
856	12139	2025
857	12146	2010
858	12157	1995
859	12166	1980
860	12174	1965
861	12181	1950
862	12188	1934
863	12196	1919
864	12203	1904
865	12211	1889
866	12221	1874
867	12231	1860
868	12240	1845
869	12249	1830
870	12255	1815
871	12263	1800
872	12272	1785
873	12281	1770
874	12288	1755
875	12296	1740
876	12302	1725
877	12311	1710
878	12320	1695
879	12330	1681
880	12338	1666
881	12348	1652
882	12356	1637
883	12378	1624
884	12385	1609
885	12394	1594
886	12401	1579
887	12407	1564
888	12415	1550
889	12423	1535
890	12429	1520
891	12437	1505
892	12448	1491
893	12457	1477
894	12466	1462
895	12475	1448
896	12482	1433
897	12488	1418
898	12496	1403
899	12503	1389
900	12510	1374
901	12517	1359
902	12535	1346
903	12548	1332
904	12559	1318
905	12566	1303
906	12576	1289
907	12585	1275
908	12593	1260
909	12602	1246
910	12609	1231
911	12617	1217
912	12625	1203
913	12633	1188
914	12642	1174
915	12652	1160
916	12661	1146
917	12672	1131
918	12680	1117
919	12688	1103
920	12696	1089
921	12705	1074
922	12715	1060
923	12722	1046
924	12730	1032
925	12739	1018
926	12746	1003
927	12753	989
928	12759	975
929	12766	960
930	12773	946
931	12780	932
932	12787	918
933	12797	904
934	12806	890
935	12817	876
936	12824	862
937	12834	848
938	12840	834
939	12850	820
940	12857	806
941	12868	792
942	12875	778
943	12884	764
944	12890	750
945	12899	736
946	12906	722
947	12915	708
948	12922	694
949	12930	680
950	12936	666
951	12943	652
952	12949	638
953	12958	624
954	12967	611
955	12973	597
956	12983	583
957	12994	569
958	13001	555
959	13013	542
960	13021	528
961	13030	514
962	13038	500
963	13049	487
964	13066	473
965	13078	460
966	13085	446
967	13097	432
968	13108	419
969	13117	405
970	13131	392
971	13144	378
972	13154	365
973	13162	351
974	13174	337
975	13181	324
976	13192	310
977	13200	296
978	13211	283
979	13226	269
980	13240	256
981	13248	242
982	13258	229
983	13270	215
984	13277	202
985	13288	188
986	13295	175
987	13305	161
988	13316	148
989	13326	134
990	13335	121
991	13342	107
992	13354	94
993	13364	80
994	13371	67
995	13377	53
996	13386	40
997	13394	26
998	13402	13
999	13410	0
